Round;InnocSub;Strain;AMU D2-6;Isolator;Dose;ID;Role ;D5 9:00;D5 16:00;D6 8:00;D6 16:00;D7 8:00;D8 8:00;D9 8:00;D10 8:00;D12 8:00;D14 8:00;D14 8:00
;;;;;;;;;;;;;;;;;;
;;;;;;;;0;8;24;32;48;72;96;120;168;216;216
1;OXA-162;;;1;7.5X10^2;101;I;0;0;1;D;D;D;D;D;D;D;D
1;OXA-162;;;1;7.5X10^2;102;S;0;0;0;0;0;0;1;1;1;1;1
1;OXA-162;;;1;7.5X10^2;103;S;0;0;0;0;0;0;1;0;1;1;1
1;OXA-162;;;1;7.5X10^2;104;S;0;0;0;0;0;0;1;0;1;1;1
1;OXA-162;;;1;7.5X10^2;107;S;0;0;0;0;0;D;D;D;D;D;D
1;OXA-162;;;1;7.5X10^2;108;I;0;0;0;0;0;1;0;1;1;1;1
1;OXA-162;;;1;7.5X10^2;109;I;0;0;0;D;D;D;D;D;D;D;D
1;OXA-162;;;1;7.5X10^2;110;I;0;0;0;0;1;1;1;1;1;1;1
1;OXA-162;;;1;7.5X10^2;113;S;0;0;0;0;0;1;0;1;1;1;1
1;OXA-162;;;1;7.5X10^2;114;I;0;0;1;0;1;1;1;1;1;1;1
1;OXA-162;;;2;7.5X10^2;201;S;0;0;0;0;0;0;0;0;1;1;1
1;OXA-162;;;2;7.5X10^2;202;I;0;0;0;1;1;1;1;1;1;1;1
1;OXA-162;;;2;7.5X10^2;204;S;0;0;0;0;0;1;0;1;1;1;1
1;OXA-162;;;2;7.5X10^2;205;I;0;0;0;0;1;1;0;1;1;1;1
1;OXA-162;;;2;7.5X10^2;206;S;0;0;0;0;1;1;0;0;1;1;1
1;OXA-162;;;2;7.5X10^2;208;S;0;0;0;0;0;1;0;0;1;1;1
1;OXA-162;;;2;7.5X10^2;209;I;0;1;0;0;0;1;1;1;1;1;1
1;OXA-162;;;2;7.5X10^2;211;I;0;0;0;0;0;1;1;0;1;1;1
1;OXA-162;;;2;7.5X10^2;212;I;0;0;0;D;D;D;D;D;D;D;D
1;OXA-162;;;2;7.5X10^2;215;S;0;0;0;0;0;1;1;1;1;1;1
1;OXA-162;;Amox;3;7.5X10^2;303;I;0;0;0;0;0;0;0;1;1;1;1
1;OXA-162;;Amox;3;7.5X10^2;304;I;0;0;0;0;0;1;1;1;1;1;1
1;OXA-162;;Amox;3;7.5X10^2;306;S;0;0;0;0;0;0;1;1;1;1;1
1;OXA-162;;Amox;3;7.5X10^2;307;S;0;0;0;0;0;0;1;1;1;1;1
1;OXA-162;;Amox;3;7.5X10^2;308;S;0;0;0;0;0;1;0;1;1;1;1
1;OXA-162;;Amox;3;7.5X10^2;309;S;0;0;0;0;0;0;0;0;1;1;1
1;OXA-162;;Amox;3;7.5X10^2;310;I;0;0;0;0;0;0;1;1;1;1;1
1;OXA-162;;Amox;3;7.5X10^2;312;I;0;0;0;0;0;0;1;1;1;1;1
1;OXA-162;;Amox;3;7.5X10^2;313;I;0;0;0;0;0;0;0;0;1;1;1
1;OXA-162;;Amox;3;7.5X10^2;315;S;0;0;0;0;0;0;0;1;1;1;1
1;OXA-162;;Amox;4;7.5X10^2;401;S;0;0;1;1;1;1;1;1;1;1;1
1;OXA-162;;Amox;4;7.5X10^2;402;I;0;0;1;1;1;1;1;1;1;1;1
1;OXA-162;;Amox;4;7.5X10^2;404;I;0;0;1;0;1;1;1;1;1;1;1
1;OXA-162;;Amox;4;7.5X10^2;405;I;0;0;1;1;1;1;1;1;1;1;1
1;OXA-162;;Amox;4;7.5X10^2;406;I;0;0;1;1;1;1;1;1;1;1;1
1;OXA-162;;Amox;4;7.5X10^2;407;S;0;0;0;1;1;1;1;1;1;1;1
1;OXA-162;;Amox;4;7.5X10^2;409;S;0;0;1;1;1;1;1;1;1;1;1
1;OXA-162;;Amox;4;7.5X10^2;412;S;0;0;0;1;1;1;1;1;1;1;1
1;OXA-162;;Amox;4;7.5X10^2;413;S;0;0;1;1;1;1;1;1;1;1;1
1;OXA-162;;Amox;4;7.5X10^2;415;I;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;;5;10X10^2;501;S;0;0;0;0;1;1;1;1;1;1;1
1;CTX-M-2;;;5;10X10^2;503;S;0;0;0;D;D;D;D;D;D;D;D
1;CTX-M-2;;;5;10X10^2;504;S;0;0;0;0;0;1;1;1;1;1;1
1;CTX-M-2;;;5;10X10^2;505;I;0;0;0;D;D;D;D;D;D;D;D
1;CTX-M-2;;;5;10X10^2;507;S;0;0;0;0;0;1;1;1;1;1;1
1;CTX-M-2;;;5;10X10^2;510;I;0;0;1;0;1;1;1;1;1;1;1
1;CTX-M-2;;;5;10X10^2;511;I;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;;5;10X10^2;512;S;0;0;0;0;1;1;1;1;1;1;1
1;CTX-M-2;;;5;10X10^2;513;I;0;0;0;0;1;1;1;1;1;1;1
1;CTX-M-2;;;5;10X10^2;514;I;0;1;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;;6;10X10^2;602;I;0;0;0;1;1;1;1;1;1;1;1
1;CTX-M-2;;;6;10X10^2;604;S;0;0;0;0;0;1;1;1;1;1;1
1;CTX-M-2;;;6;10X10^2;605;S;0;0;0;0;1;0;1;1;1;1;1
